modelo,data_fraction,fold,semilla,dispositivo,n_train,n_val,epocas,n_params_entrenables,n_capas_vqc,commit_sha,timestamp,accuracy_train,accuracy_val,loss_train,loss_val,f1_val_weighted,f1_val_macro,sens_glioma,sens_meningioma,sens_pituitary,sens_notumor,spec_glioma,spec_meningioma,spec_pituitary,spec_notumor,train_time_s,inference_ms_per_batch,brecha_g
efficientnet_b0,1.0,0,42,mps,5380,1346,15,5124,,a8b27c0-dirty,2026-08-17T20:32:06.326223+00:00,0.9654017857142857,0.937592867756315,0.11790725753997408,0.16848037911877922,0.9377611347513861,0.9367622720685684,0.8950617283950617,0.9113149847094801,0.9827586206896551,0.9567723342939481,0.9843444227005871,0.9558390578999019,0.9819639278557114,0.994994994994995,639.7135944580004,47.56770800122467,0.02780891795797069
efficientnet_b0,1.0,1,42,mps,5381,1345,15,5124,,a8b27c0-dirty,2026-08-17T20:43:49.230017+00:00,0.9616815476190477,0.9390334572490706,0.11993816683423661,0.18090147749420435,0.9386579687002244,0.9377310338654296,0.9166666666666666,0.8746177370030581,0.9683908045977011,0.9913294797687862,0.9813907933398629,0.9675834970530451,0.9819458375125376,0.987987987987988,642.9360317500032,47.543771001073765,0.02264809036997706
efficientnet_b0,1.0,2,42,mps,5381,1345,15,5124,,a8b27c0-dirty,2026-08-17T20:55:34.585210+00:00,0.9640997023809523,0.9345724907063196,0.11859737083848033,0.16417709466166877,0.9347282942744327,0.9335142302861177,0.9012345679012346,0.8899082568807339,0.9741379310344828,0.9682080924855492,0.9755142017629774,0.9557956777996071,0.9909729187562688,0.990990990990991,645.4430374170006,47.3500830012199,0.02952721167463268
efficientnet_b0,1.0,3,42,mps,5381,1345,15,5124,,a8b27c0-dirty,2026-08-17T21:07:46.513959+00:00,0.9655877976190477,0.9368029739776952,0.11855721553521496,0.1676216510924265,0.9370976805252851,0.9360266913783057,0.9197530864197531,0.8929663608562691,0.9454022988505747,0.9855491329479769,0.9764936336924583,0.9548133595284872,0.9909729187562688,0.993993993993994,662.9851894170024,47.13716649894195,0.028784823641352486
efficientnet_b0,1.0,4,42,mps,5381,1345,15,5124,,a8b27c0-dirty,2026-08-17T21:33:40.093567+00:00,0.9637276785714286,0.9368029739776952,0.1186029917250077,0.17054691563276436,0.9367759054184416,0.9355561559250409,0.8734567901234568,0.908256880733945,0.9712643678160919,0.9884393063583815,0.9833496571988247,0.9538310412573674,0.9849548645937813,0.993993993993994,781.9788965000007,89.30629149836022,0.026924704593733417
resnet50,1.0,0,42,mps,5380,1346,15,8196,,a8b27c0-dirty,2026-08-17T21:52:13.809797+00:00,0.9441964285714286,0.9190193164933135,0.16701084825520715,0.2204411717333774,0.9180689831511185,0.9168148052131382,0.8796296296296297,0.8287461773700305,0.985632183908046,0.9740634005763689,0.9794520547945206,0.9597644749754661,0.9729458917835672,0.97997997997998,1028.0315665410017,96.65695800140384,0.025177112078115127
resnet50,1.0,1,42,mps,5381,1345,15,8196,,a8b27c0-dirty,2026-08-17T22:10:05.507975+00:00,0.9434523809523809,0.9152416356877323,0.1694847445801965,0.23148247558055757,0.9148487407814064,0.9133069409464567,0.8333333333333334,0.8654434250764526,0.9655172413793104,0.9884393063583815,0.9823702252693438,0.9410609037328095,0.9829488465396189,0.980980980980981,982.0376735000027,179.74314550156123,0.028210745264648618
resnet50,1.0,2,42,mps,5381,1345,15,8196,,a8b27c0-dirty,2026-08-17T22:27:58.557280+00:00,0.9445684523809523,0.9256505576208178,0.16417937920916648,0.21785399523809496,0.9252403805523297,0.9240362916365301,0.8858024691358025,0.8593272171253823,0.9626436781609196,0.9884393063583815,0.9784524975514202,0.9567779960707269,0.9809428284854563,0.984984984984985,986.5760850420047,96.71722899656743,0.0189178947601345
resnet50,1.0,3,42,mps,5381,1345,15,8196,,a8b27c0-dirty,2026-08-17T22:46:20.975580+00:00,0.9410342261904762,0.9182156133828996,0.167959914054899,0.22185312824178363,0.9177076590022594,0.9164465635500584,0.8919753086419753,0.8318042813455657,0.9597701149425287,0.9826589595375722,0.9764936336924583,0.9528487229862476,0.9759277833500501,0.985985985985986,1012.1036023749984,174.42591700091725,0.022818612807576577
resnet50,1.0,4,42,mps,5381,1345,15,8196,,a8b27c0-dirty,2026-08-17T23:03:13.707418+00:00,0.9427083333333334,0.9234200743494424,0.16937730627666628,0.21341831067254158,0.9231279234110277,0.9217818291310671,0.8611111111111112,0.8685015290519877,0.9683908045977011,0.9884393063583815,0.9823702252693438,0.9489194499017681,0.9779338014042126,0.988988988988989,941.9206017079996,96.21135399720515,0.01928825898389097
