ruta_relativa,particion_origen,clase,modo,ancho,alto,corrupta,sha256,excluida,motivo_exclusion
Testing/glioma/Te-glTr_0000.jpg,Testing,glioma,RGB,512,512,False,b513a83f68e486f45159b004d356782e782840145321511f99dd38399251b6d7,False,
Testing/glioma/Te-glTr_0001.jpg,Testing,glioma,RGB,512,512,False,5b4e4a0f482cb68955c340205d475f25c3a30718bd3b48925cf8ca8858e3d31e,False,
Testing/glioma/Te-glTr_0002.jpg,Testing,glioma,RGB,512,512,False,6fd1918b39e7a7f92fa5652d7802583f3251fed50a23ec691b099fea4696e060,False,
Testing/glioma/Te-glTr_0003.jpg,Testing,glioma,RGB,512,512,False,216b65a45d7effb4ebce1c9893f97d12449c9da777f81859f752513d2a0f9c61,False,
Testing/glioma/Te-glTr_0004.jpg,Testing,glioma,RGB,512,512,False,c35734545021ab5a4f55fb87e08732e26fb16abe8879271d19dba53a92473006,False,
Testing/glioma/Te-glTr_0005.jpg,Testing,glioma,RGB,512,512,False,99823a94a0e5771885b4a351f4226646e05ac28dc26c1673d56f698fbecd0dbd,False,
Testing/glioma/Te-glTr_0006.jpg,Testing,glioma,RGB,512,512,False,c5872b3cf2887adda75e1abf3f144a018b81e7ca082e3af2d2ae950564e574c9,False,
Testing/glioma/Te-glTr_0007.jpg,Testing,glioma,RGB,512,512,False,0732a1bdd51f692954619b0b9eaaa75e2afde9895d5b78279dd0611796e51498,False,
Testing/glioma/Te-glTr_0008.jpg,Testing,glioma,RGB,512,512,False,d5c72e60e4f6440cef201bc25351d3894143569cf7fcb20992c3f62a263a31c2,False,
Testing/glioma/Te-glTr_0009.jpg,Testing,glioma,RGB,512,512,False,ee07fcfa84fe2e1a6e4cffd174d4c33b72ce830c36839667ca952ca995073745,False,
Testing/glioma/Te-gl_0010.jpg,Testing,glioma,RGB,512,512,False,a99b7a1c0a8281a6bc844d3cb7a3581458fb37fd5b7af7279c5e201e89f03c60,False,
Testing/glioma/Te-gl_0011.jpg,Testing,glioma,RGB,512,512,False,2582dc2998a76c37ca78d3f82baace12065ffd1fa72c2e4864d756d30bd4eef7,False,
Testing/glioma/Te-gl_0012.jpg,Testing,glioma,RGB,512,512,False,d3919a620ad5aee91a2f2991fcb5c4c6d21fc30aafca09cc8e9768bc0dc10f28,False,
Testing/glioma/Te-gl_0013.jpg,Testing,glioma,RGB,512,512,False,008f7fea9cbb6d61aa406db657479bf8437355ffff3b894a807c8d7b81d7e628,False,
Testing/glioma/Te-gl_0014.jpg,Testing,glioma,RGB,512,512,False,6864a3e2f7406bdef32f33aecfeeb19b0a5fe0ac92a6f7b09be01c2ddc255278,False,
Testing/glioma/Te-gl_0015.jpg,Testing,glioma,RGB,512,512,False,2d33e035b533d94e310dce9c7925ede0fc88b85796079304e3da37a2e9ce0326,False,
Testing/glioma/Te-gl_0016.jpg,Testing,glioma,RGB,512,512,False,085a411f8f51f72f45fb4f3452e62a43e31c74bbcfe5404bff529ebfe0218e59,False,
Testing/glioma/Te-gl_0017.jpg,Testing,glioma,RGB,512,512,False,8faa1956f6c3e58ca9911d98e453692128bb99c49abb2216ede151e46b1c631b,False,
Testing/glioma/Te-gl_0018.jpg,Testing,glioma,RGB,512,512,False,a34ca7ca37c4cf5832f566fa434d8f37183b4e828b28b2141ff9d921ec843a1a,False,
Testing/glioma/Te-gl_0019.jpg,Testing,glioma,RGB,512,512,False,4e8198dde883bcdd41bc1b5ce936ff79eb3a8cfcb8827bcadd9c327e4de232e5,False,
Testing/glioma/Te-gl_0020.jpg,Testing,glioma,RGB,512,512,False,371efa5163a69805d5a3a83c00b03169a5337d8ab6164d8ed0c7017579dfa9c0,False,
